# Sundial demo flight log
# Synthetic L1850 two-stage-recovery profile, 50 Hz control loop
# Generated by examples/make_demo_log.py
# Time (s),state,altitude (m),velocity (m/s),accel_x (m/s^2),accel_y (m/s^2),accel_z (m/s^2),gyro_x (deg/s),gyro_y (deg/s),gyro_z (deg/s),pressure (Pa),temperature (C),battery (V),gps_lat (deg),gps_lon (deg),gps_sats,rssi (dBm),mach,pyro_drogue,pyro_main
13.680,COAST,1209.089,117.943,0.216,0.013,0.324,-7.00,6.75,129.47,87787.8,13.54,8.2829,32.9403304,-106.9219609,7,-75.9,0.3595,0,0
13.700,COAST,1212.168,117.127,-0.042,0.096,0.641,-8.35,4.85,132.48,87769.9,13.76,8.2804,32.9403312,-106.9219603,7,-74.4,0.3587,0,0
13.720,COAST,1214.303,119.355,0.077,0.202,0.464,-5.60,4.56,132.62,87750.2,13.57,8.2784,32.9403316,-106.9219604,7,-74.7,0.3580,0,0
13.740,COAST,1217.022,118.166,0.177,0.153,0.733,-6.31,4.64,129.52,87708.2,13.51,8.2808,32.9403320,-106.9219599,7,-74.0,0.3572,0,0
13.760,COAST,1218.749,118.697,0.040,0.197,0.041,-8.63,2.58,129.58,87701.5,13.57,8.2865,32.9403323,-106.9219606,7,-75.6,0.3565,0,0
13.780,COAST,1220.885,118.726,0.111,-0.232,0.556,-8.60,2.99,127.68,87669.1,13.71,8.2758,32.9403318,-106.9219607,7,-75.3,0.3557,0,0
13.800,COAST,1223.333,117.357,0.236,-0.075,0.519,-8.69,5.86,127.97,87636.9,13.66,8.2757,32.9403323,-106.9219613,7,-75.7,0.3550,0,0
13.820,COAST,1225.540,116.903,0.218,0.149,0.035,-5.96,2.99,129.36,87619.5,13.66,8.2762,32.9403334,-106.9219598,7,-74.1,0.3542,0,0
13.840,COAST,1227.994,115.451,0.115,0.081,0.188,-7.37,3.91,131.11,87605.3,13.37,8.2757,32.9403337,-106.9219609,7,-75.9,0.3535,0,0
13.860,COAST,1230.431,116.895,-0.035,-0.059,0.200,-5.87,0.44,130.36,87562.0,13.51,8.2785,32.9403326,-106.9219604,7,-73.9,0.3528,0,0
13.880,COAST,1232.870,117.174,0.143,-0.034,0.271,-6.58,2.51,127.32,87555.1,13.48,8.2832,32.9403324,-106.9219609,7,-75.5,0.3520,0,0
13.900,COAST,1234.805,116.447,-0.173,-0.146,0.038,-8.26,4.63,127.16,87532.4,13.48,8.2830,32.9403342,-106.9219604,7,-74.3,0.3513,0,0
13.920,COAST,1237.555,116.321,0.172,-0.211,0.348,-6.64,1.75,130.91,87501.4,13.48,8.2840,32.9403331,-106.9219607,7,-75.6,0.3505,0,0
13.940,COAST,1240.379,116.631,0.027,0.041,0.104,-6.30,3.81,128.25,87467.9,13.51,8.2782,32.9403342,-106.9219613,7,-74.3,0.3498,0,0
13.960,COAST,1242.483,114.928,0.200,-0.139,0.154,-7.26,-0.67,128.29,87448.5,13.42,8.2850,32.9403343,-106.9219607,7,-74.1,0.3490,0,0
13.980,COAST,1244.833,115.444,0.179,-0.027,0.647,-6.40,1.55,131.29,87427.1,13.53,8.2807,32.9403346,-106.9219603,7,-77.1,0.3483,0,0
14.000,COAST,1247.219,114.899,0.113,0.191,0.185,-8.36,0.59,127.45,87394.4,13.40,8.2805,32.9403346,-106.9219596,7,-74.5,0.3476,0,0
14.020,COAST,1248.979,115.728,-0.226,0.155,0.724,-9.40,1.08,132.96,87374.0,13.42,8.2807,32.9403354,-106.9219612,7,-76.6,0.3468,0,0
14.040,COAST,1250.624,114.755,-0.081,0.080,0.395,-7.75,-1.79,127.58,87361.5,13.48,8.2864,32.9403356,-106.9219599,7,-75.9,0.3461,0,0
14.060,COAST,1253.319,114.231,-0.159,-0.046,0.480,-8.51,0.36,128.25,87322.3,13.37,8.2775,32.9403346,-106.9219595,7,-75.9,0.3454,0,0
14.080,COAST,1256.397,112.377,0.004,-0.174,0.040,-8.39,0.95,130.60,87301.9,13.21,8.2789,32.9403348,-106.9219597,7,-75.9,0.3446,0,0
14.100,COAST,1257.748,113.450,-0.213,-0.212,0.029,-6.82,-2.82,128.98,87274.0,13.27,8.2755,32.9403368,-106.9219611,7,-74.3,0.3439,0,0
14.120,COAST,1260.318,112.591,-0.061,0.204,0.423,-7.81,-2.47,129.18,87251.6,13.21,8.2778,32.9403370,-106.9219602,7,-74.2,0.3431,0,0
14.140,COAST,1262.917,112.246,0.139,-0.054,0.465,-7.46,-2.43,128.78,87242.8,13.40,8.2846,32.9403361,-106.9219608,7,-76.5,0.3424,0,0
14.160,COAST,1264.970,111.355,0.057,0.009,0.077,-5.77,-2.85,132.63,87203.8,13.15,8.2759,32.9403373,-106.9219607,7,-77.1,0.3417,0,0
14.180,COAST,1267.140,113.331,0.057,-0.173,0.446,-6.57,-4.08,131.15,87199.9,13.26,8.2791,32.9403364,-106.9219603,7,-77.3,0.3409,0,0
14.200,COAST,1269.775,112.813,0.111,-0.215,0.661,-7.72,-3.64,128.28,87173.2,13.17,8.2843,32.9403371,-106.9219602,7,-76.5,0.3402,0,0
14.220,COAST,1271.449,113.073,0.108,-0.130,0.688,-9.04,-4.72,131.39,87143.5,13.16,8.2805,32.9403381,-106.9219596,7,-77.6,0.3395,0,0
14.240,COAST,1274.134,110.628,-0.038,0.157,0.215,-8.21,-3.71,132.56,87123.1,13.31,8.2818,32.9403377,-106.9219600,7,-77.1,0.3388,0,0
14.260,COAST,1275.332,111.012,-0.184,0.001,0.249,-8.25,-0.79,128.75,87089.1,13.14,8.2742,32.9403386,-106.9219595,7,-77.7,0.3380,0,0
14.280,COAST,1278.073,110.126,0.200,-0.108,0.322,-4.02,-4.26,132.72,87081.3,13.18,8.2783,32.9403369,-106.9219606,7,-75.9,0.3373,0,0
14.300,COAST,1280.614,110.952,0.249,-0.201,0.564,-6.17,-3.54,128.70,87061.4,13.28,8.2775,32.9403379,-106.9219601,7,-75.3,0.3366,0,0
14.320,COAST,1282.625,110.934,-0.238,0.083,0.380,-4.11,-1.70,131.52,87028.8,13.22,8.2775,32.9403389,-106.9219599,7,-76.8,0.3358,0,0
14.340,COAST,1285.379,109.877,-0.073,0.014,0.076,-3.41,-2.54,127.07,87003.4,13.06,8.2814,32.9403395,-106.9219598,7,-74.9,0.3351,0,0
14.360,COAST,1287.112,110.009,0.136,0.099,0.163,-7.00,-2.66,132.03,86981.7,13.15,8.2755,32.9403396,-106.9219605,7,-76.5,0.3344,0,0
14.380,COAST,1289.628,109.002,-0.089,-0.243,0.601,-4.21,-3.88,128.50,86953.6,12.99,8.2824,32.9403382,-106.9219596,7,-77.7,0.3336,0,0
14.400,COAST,1291.141,108.785,0.027,0.087,0.048,-3.58,-4.87,132.94,86942.2,13.14,8.2758,32.9403384,-106.9219607,7,-75.0,0.3329,0,0
14.420,COAST,1293.511,108.376,0.026,0.224,0.691,-5.66,-3.24,129.60,86912.5,12.99,8.2816,32.9403400,-106.9219597,7,-77.8,0.3322,0,0
14.440,COAST,1295.699,108.404,-0.070,-0.091,0.043,-4.81,-7.79,131.09,86901.7,13.09,8.2796,32.9403403,-106.9219590,7,-77.7,0.3315,0,0
14.460,COAST,1297.817,110.163,0.098,-0.072,0.135,-5.14,-4.04,132.00,86881.0,13.02,8.2791,32.9403393,-106.9219591,7,-76.4,0.3307,0,0
14.480,COAST,1299.528,109.773,-0.061,-0.246,0.460,-5.35,-3.68,127.38,86853.1,12.91,8.2809,32.9403392,-106.9219604,7,-75.9,0.3300,0,0
14.500,COAST,1302.199,109.931,0.010,-0.010,0.205,-3.33,-5.76,127.56,86817.5,12.96,8.2736,32.9403402,-106.9219602,7,-77.0,0.3293,0,0
14.520,COAST,1304.564,109.758,0.215,0.245,0.183,-2.73,-8.14,127.04,86795.8,12.95,8.2800,32.9403400,-106.9219599,7,-77.5,0.3286,0,0
14.540,COAST,1306.794,106.930,-0.177,0.038,0.042,-4.33,-5.36,132.64,86773.1,12.97,8.2760,32.9403414,-106.9219589,7,-77.6,0.3278,0,0
14.560,COAST,1308.236,108.769,0.182,0.022,0.395,-1.21,-4.92,127.33,86750.5,12.97,8.2803,32.9403414,-106.9219589,7,-77.3,0.3271,0,0
14.580,COAST,1311.376,109.034,-0.225,-0.035,0.441,-0.89,-4.46,132.89,86741.1,12.92,8.2812,32.9403420,-106.9219589,7,-75.2,0.3264,0,0
14.600,COAST,1312.859,107.733,0.073,-0.106,0.031,-0.55,-5.11,132.01,86720.6,13.05,8.2738,32.9403416,-106.9219598,7,-77.4,0.3257,0,0
14.620,COAST,1315.375,107.310,0.216,-0.080,0.174,-3.81,-7.89,131.18,86694.9,12.91,8.2769,32.9403425,-106.9219592,7,-75.6,0.3250,0,0
14.640,COAST,1317.062,105.854,0.059,0.201,0.304,-1.08,-5.88,129.06,86676.8,13.05,8.2753,32.9403421,-106.9219603,7,-75.1,0.3242,0,0
14.660,COAST,1319.544,107.740,-0.155,0.220,0.451,-0.81,-5.80,129.01,86644.8,12.78,8.2753,32.9403420,-106.9219600,7,-75.3,0.3235,0,0
14.680,COAST,1321.283,107.017,0.017,-0.195,0.319,-2.55,-9.06,130.75,86630.5,12.83,8.2738,32.9403428,-106.9219599,7,-76.6,0.3228,0,0
14.700,COAST,1323.932,106.357,-0.107,0.121,0.400,-1.73,-5.06,132.05,86615.0,12.81,8.2793,32.9403429,-106.9219587,7,-77.2,0.3221,0,0
14.720,COAST,1325.321,105.796,-0.184,-0.155,0.064,1.41,-5.36,130.63,86582.9,12.82,8.2831,32.9403427,-106.9219593,7,-76.0,0.3214,0,0
14.740,COAST,1327.731,106.663,0.204,-0.217,0.154,1.58,-9.42,129.40,86568.6,12.84,8.2777,32.9403426,-106.9219597,7,-78.3,0.3207,0,0
14.760,COAST,1330.642,106.106,-0.073,0.053,0.756,-0.73,-8.55,131.63,86537.4,12.80,8.2780,32.9403433,-106.9219589,7,-77.5,0.3199,0,0
14.780,COAST,1332.501,105.687,0.016,0.212,0.382,-2.07,-8.57,130.89,86525.9,12.94,8.2770,32.9403440,-106.9219592,7,-75.0,0.3192,0,0
14.800,COAST,1334.349,106.445,-0.145,-0.040,0.716,2.44,-9.67,132.91,86507.5,12.97,8.2796,32.9403428,-106.9219601,7,-78.0,0.3185,0,0
14.820,COAST,1336.135,105.486,-0.159,-0.080,0.575,2.00,-9.56,129.16,86474.2,12.81,8.2795,32.9403438,-106.9219594,7,-76.9,0.3178,0,0
14.840,COAST,1339.305,105.845,0.106,0.083,0.738,-0.23,-8.36,130.01,86463.9,12.70,8.2771,32.9403431,-106.9219596,7,-76.6,0.3171,0,0
14.860,COAST,1340.366,105.298,0.150,0.206,0.575,3.08,-7.05,131.05,86441.6,12.68,8.2845,32.9403443,-106.9219601,7,-78.2,0.3164,0,0
14.880,COAST,1343.389,105.504,0.235,0.044,0.701,2.34,-6.42,127.02,86421.7,12.84,8.2833,32.9403448,-106.9219594,7,-77.5,0.3156,0,0
14.900,COAST,1345.055,103.727,0.184,0.140,0.624,1.16,-9.56,130.38,86392.6,12.82,8.2790,32.9403439,-106.9219596,7,-77.0,0.3149,0,0
14.920,COAST,1346.422,104.134,-0.050,-0.221,0.514,1.94,-9.78,127.18,86375.4,12.89,8.2822,32.9403440,-106.9219582,7,-77.5,0.3142,0,0
14.940,COAST,1349.669,103.075,-0.126,-0.071,0.334,4.59,-6.43,127.54,86350.4,12.81,8.2756,32.9403448,-106.9219581,7,-75.7,0.3135,0,0
14.960,COAST,1350.404,104.425,-0.013,0.050,0.435,1.19,-6.49,127.69,86321.5,12.67,8.2835,32.9403446,-106.9219601,7,-78.2,0.3128,0,0
14.980,COAST,1353.506,103.792,0.239,0.249,0.708,3.20,-7.57,129.08,86309.7,12.64,8.2752,32.9403458,-106.9219585,7,-77.0,0.3121,0,0
15.000,COAST,1354.926,102.664,-0.098,0.039,0.001,2.22,-9.61,131.11,86276.3,12.68,8.2833,32.9403452,-106.9219580,7,-75.8,0.3114,0,0
15.020,COAST,1356.944,101.477,-0.063,-0.086,0.210,3.20,-9.53,129.19,86264.2,12.53,8.2807,32.9403464,-106.9219585,7,-76.5,0.3107,0,0
15.040,COAST,1359.291,102.397,0.002,-0.000,0.150,3.23,-6.17,127.31,86240.0,12.78,8.2731,32.9403450,-106.9219593,7,-78.2,0.3100,0,0
15.060,COAST,1361.367,102.507,-0.048,0.077,0.455,5.91,-7.70,129.09,86215.3,12.74,8.2729,32.9403466,-106.9219590,7,-77.6,0.3092,0,0
15.080,COAST,1363.667,101.480,-0.038,0.180,0.120,5.60,-7.47,127.99,86202.7,12.75,8.2816,32.9403466,-106.9219584,7,-78.0,0.3085,0,0
15.100,COAST,1365.588,101.287,-0.173,-0.033,0.300,6.41,-8.69,130.54,86171.9,12.61,8.2814,32.9403459,-106.9219595,7,-78.3,0.3078,0,0
15.120,COAST,1367.521,101.385,0.173,0.024,0.374,5.04,-7.78,131.35,86158.5,12.58,8.2797,32.9403465,-106.9219579,7,-76.3,0.3071,0,0
15.140,COAST,1369.592,100.462,-0.027,0.076,0.275,6.36,-5.08,130.12,86128.6,12.61,8.2800,32.9403471,-106.9219590,7,-76.0,0.3064,0,0
15.160,COAST,1371.946,101.895,-0.225,-0.035,0.118,2.57,-6.08,129.38,86120.9,12.59,8.2761,32.9403476,-106.9219580,7,-78.7,0.3057,0,0
15.180,COAST,1373.757,100.789,-0.040,-0.163,0.648,3.09,-9.12,128.73,86089.0,12.68,8.2774,32.9403476,-106.9219588,7,-75.4,0.3050,0,0
15.200,COAST,1376.016,99.850,0.110,-0.218,0.781,3.45,-7.14,128.74,86085.2,12.44,8.2765,32.9403478,-106.9219582,7,-78.1,0.3043,0,0
15.220,COAST,1377.386,100.723,-0.086,-0.226,0.325,6.07,-4.32,132.63,86052.8,12.64,8.2753,32.9403470,-106.9219591,7,-77.9,0.3036,0,0
15.240,COAST,1379.914,98.706,0.203,-0.235,0.529,3.46,-4.06,132.64,86039.4,12.52,8.2773,32.9403479,-106.9219579,7,-78.6,0.3029,0,0
15.260,COAST,1381.601,99.902,0.131,0.142,0.722,3.49,-7.08,130.47,86025.0,12.52,8.2723,32.9403486,-106.9219592,7,-75.8,0.3022,0,0
15.280,COAST,1383.321,98.684,0.052,0.222,0.340,5.65,-4.00,127.61,86000.0,12.64,8.2797,32.9403492,-106.9219580,7,-75.9,0.3015,0,0
15.300,COAST,1385.846,98.895,0.180,0.008,0.065,4.38,-3.66,128.02,85983.3,12.42,8.2750,32.9403481,-106.9219578,7,-76.9,0.3008,0,0
15.320,COAST,1387.983,97.970,0.016,0.162,0.515,8.06,-7.19,127.93,85951.2,12.61,8.2765,32.9403484,-106.9219581,7,-75.6,0.3001,0,0
15.340,COAST,1388.907,99.689,0.008,0.174,0.463,7.87,-4.76,127.80,85935.1,12.52,8.2741,32.9403494,-106.9219584,7,-75.9,0.2994,0,0
15.360,COAST,1391.753,98.257,0.089,0.141,0.371,5.28,-2.64,129.00,85917.5,12.48,8.2774,32.9403489,-106.9219575,7,-76.6,0.2987,0,0
15.380,COAST,1392.857,99.192,-0.159,-0.100,0.127,9.00,-6.94,127.48,85899.8,12.59,8.2791,32.9403487,-106.9219594,7,-75.8,0.2980,0,0
15.400,COAST,1395.802,99.176,0.164,-0.222,0.472,4.78,-4.74,128.26,85879.5,12.37,8.2788,32.9403503,-106.9219575,7,-78.3,0.2973,0,0
15.420,COAST,1396.882,97.387,-0.174,0.027,0.788,5.15,-4.82,130.17,85857.8,12.47,8.2740,32.9403500,-106.9219592,7,-76.9,0.2966,0,0
15.440,COAST,1399.250,96.250,-0.065,0.141,0.196,9.05,-5.82,132.60,85846.3,12.30,8.2789,32.9403501,-106.9219581,7,-78.3,0.2959,0,0
15.460,COAST,1401.475,96.258,-0.040,-0.090,0.389,6.41,-1.93,130.01,85815.9,12.40,8.2749,32.9403502,-106.9219585,7,-78.1,0.2952,0,0
15.480,COAST,1402.717,97.456,0.132,-0.227,0.308,9.53,-5.34,132.61,85786.9,12.47,8.2738,32.9403493,-106.9219576,7,-76.8,0.2945,0,0
15.500,COAST,1405.280,96.255,0.115,-0.203,0.647,8.54,-4.87,131.50,85773.3,12.51,8.2738,32.9403500,-106.9219585,7,-77.1,0.2938,0,0
15.520,COAST,1406.371,95.880,-0.033,-0.079,0.052,5.45,-1.93,127.31,85752.2,12.39,8.2820,32.9403512,-106.9219588,7,-79.0,0.2931,0,0
15.540,COAST,1408.686,97.545,-0.146,0.181,0.323,5.80,-4.05,132.35,85727.6,12.27,8.2802,32.9403503,-106.9219579,7,-76.5,0.2924,0,0
15.560,COAST,1410.302,95.477,-0.046,0.217,0.703,9.85,0.04,129.80,85712.7,12.26,8.2747,32.9403501,-106.9219578,7,-76.4,0.2917,0,0
15.580,COAST,1412.673,94.880,0.166,0.233,0.133,9.43,-2.95,132.18,85702.3,12.42,8.2799,32.9403518,-106.9219592,7,-77.5,0.2910,0,0
15.600,COAST,1414.102,96.268,0.241,0.144,0.326,5.81,0.82,128.99,85681.5,12.32,8.2815,32.9403519,-106.9219588,7,-76.9,0.2903,0,0
15.620,COAST,1416.251,96.052,0.185,0.030,0.622,6.83,-3.13,127.53,85663.6,12.17,8.2736,32.9403516,-106.9219584,7,-76.7,0.2896,0,0
15.640,COAST,1417.963,96.572,0.197,-0.016,0.027,5.48,0.85,127.65,85640.1,12.40,8.2783,32.9403516,-106.9219578,7,-75.9,0.2889,0,0
15.660,COAST,1419.899,95.979,-0.237,-0.232,0.106,7.60,0.14,128.70,85609.2,12.19,8.2803,32.9403516,-106.9219575,7,-76.0,0.2882,0,0
15.680,COAST,1422.634,94.076,0.010,0.093,0.271,9.11,0.27,130.31,85600.1,12.25,8.2724,32.9403532,-106.9219590,7,-78.4,0.2875,0,0
15.700,COAST,1423.626,94.927,-0.149,0.235,0.536,8.20,-2.29,129.09,85577.3,12.18,8.2818,32.9403524,-106.9219572,8,-77.8,0.2868,0,0
15.720,COAST,1426.531,94.305,-0.013,0.143,0.016,9.93,-1.78,128.13,85572.1,12.36,8.2764,32.9403527,-106.9219588,8,-79.0,0.2861,0,0
15.740,COAST,1427.476,92.962,-0.155,-0.025,0.635,8.51,1.90,131.37,85540.4,12.13,8.2812,32.9403531,-106.9219580,8,-78.5,0.2855,0,0
15.760,COAST,1430.071,93.881,-0.129,-0.041,0.283,7.92,2.53,129.47,85515.7,12.35,8.2723,32.9403535,-106.9219581,8,-76.1,0.2848,0,0
15.780,COAST,1431.198,93.024,0.138,-0.047,0.005,10.24,0.58,129.31,85513.4,12.16,8.2783,32.9403536,-106.9219572,8,-77.3,0.2841,0,0
15.800,COAST,1433.464,94.615,-0.160,0.029,0.227,6.51,1.00,132.54,85494.3,12.28,8.2824,32.9403532,-106.9219582,8,-78.1,0.2834,0,0
15.820,COAST,1435.364,94.642,-0.001,0.171,0.102,7.83,3.27,129.95,85462.8,12.16,8.2786,32.9403542,-106.9219569,8,-77.7,0.2827,0,0
15.840,COAST,1436.966,93.605,-0.147,0.067,0.539,7.17,-0.06,128.93,85457.1,12.05,8.2764,32.9403547,-106.9219588,8,-79.2,0.2820,0,0
15.860,COAST,1438.848,91.640,-0.088,-0.194,0.771,8.85,2.87,127.39,85425.3,12.27,8.2768,32.9403543,-106.9219585,8,-77.6,0.2813,0,0
15.880,COAST,1440.455,93.084,-0.118,0.135,0.226,6.03,3.84,127.39,85406.7,12.24,8.2767,32.9403551,-106.9219586,8,-77.7,0.2806,0,0
15.900,COAST,1442.177,93.286,-0.048,-0.172,0.351,8.21,2.65,128.20,85391.5,12.12,8.2727,32.9403538,-106.9219587,8,-77.0,0.2799,0,0
15.920,COAST,1444.648,93.334,-0.062,0.099,0.026,5.77,2.50,129.48,85372.0,12.00,8.2780,32.9403543,-106.9219581,8,-78.8,0.2792,0,0
15.940,COAST,1446.614,90.820,-0.126,-0.005,0.529,6.02,2.95,128.46,85364.5,11.97,8.2792,32.9403548,-106.9219575,8,-79.5,0.2786,0,0
15.960,COAST,1447.771,92.325,-0.072,0.062,0.433,8.49,2.95,127.35,85327.7,12.20,8.2812,32.9403540,-106.9219570,8,-76.2,0.2779,0,0
15.980,COAST,1450.600,92.065,0.249,0.117,0.279,7.52,3.40,132.54,85317.7,12.05,8.2728,32.9403547,-106.9219583,8,-78.6,0.2772,0,0
16.000,COAST,1452.511,90.688,0.059,-0.056,0.788,5.90,1.75,131.12,85306.7,12.13,8.2734,32.9403544,-106.9219573,8,-78.5,0.2765,0,0
16.020,COAST,1453.931,92.143,-0.144,-0.093,0.660,6.84,3.10,132.57,85284.3,12.04,8.2764,32.9403553,-106.9219570,8,-79.4,0.2758,0,0
16.040,COAST,1455.815,89.537,-0.005,-0.079,0.410,5.75,4.12,130.74,85260.2,12.06,8.2732,32.9403552,-106.9219576,8,-76.8,0.2751,0,0
16.060,COAST,1458.161,89.691,0.245,-0.213,0.651,7.46,3.24,132.02,85236.4,12.02,8.2814,32.9403558,-106.9219572,8,-77.9,0.2744,0,0
16.080,COAST,1459.696,90.493,-0.032,-0.121,0.252,6.31,3.29,129.81,85215.5,12.09,8.2720,32.9403551,-106.9219584,8,-79.3,0.2738,0,0
16.100,COAST,1461.434,89.120,0.007,0.115,0.570,4.15,5.84,132.50,85204.8,11.97,8.2729,32.9403565,-106.9219572,8,-77.1,0.2731,0,0
16.120,COAST,1462.402,90.344,-0.190,0.005,0.239,7.53,5.15,130.80,85186.2,11.85,8.2719,32.9403554,-106.9219576,8,-76.6,0.2724,0,0
16.140,COAST,1465.204,90.620,-0.047,-0.092,0.478,7.77,7.17,132.62,85174.3,12.01,8.2741,32.9403574,-106.9219572,8,-77.6,0.2717,0,0
16.160,COAST,1467.140,88.167,-0.088,0.039,0.378,7.89,7.14,130.43,85148.1,12.10,8.2747,32.9403567,-106.9219577,8,-77.9,0.2710,0,0
16.180,COAST,1468.649,87.878,-0.232,-0.184,0.436,3.95,5.65,129.42,85142.9,11.86,8.2812,32.9403571,-106.9219581,8,-77.4,0.2703,0,0
16.200,COAST,1470.496,90.274,-0.174,-0.071,0.295,5.98,6.71,129.74,85107.6,11.97,8.2708,32.9403574,-106.9219577,8,-79.6,0.2697,0,0
16.220,COAST,1471.978,88.265,0.248,0.205,0.704,7.12,6.98,131.30,85108.6,11.84,8.2709,32.9403564,-106.9219570,8,-79.9,0.2690,0,0
16.240,COAST,1472.942,87.683,-0.085,-0.145,0.168,4.22,4.75,129.11,85083.6,12.01,8.2788,32.9403579,-106.9219568,8,-76.9,0.2683,0,0
16.260,COAST,1475.084,87.826,-0.125,0.069,0.118,2.70,7.93,131.89,85064.1,12.01,8.2809,32.9403567,-106.9219575,8,-78.6,0.2676,0,0
16.280,COAST,1477.268,88.870,0.172,-0.146,0.619,6.37,5.01,131.89,85042.4,11.94,8.2718,32.9403584,-106.9219579,8,-79.6,0.2669,0,0
16.300,COAST,1479.081,86.517,-0.207,-0.177,0.071,5.96,7.84,128.41,85023.2,12.02,8.2808,32.9403585,-106.9219575,8,-78.8,0.2663,0,0
16.320,COAST,1480.514,86.347,-0.121,-0.178,0.303,4.26,9.69,132.36,85006.8,11.98,8.2775,32.9403589,-106.9219573,8,-80.0,0.2656,0,0
16.340,COAST,1482.120,86.779,-0.243,0.241,0.092,2.50,7.94,129.39,85002.7,11.88,8.2736,32.9403591,-106.9219577,8,-78.9,0.2649,0,0
16.360,COAST,1483.608,86.740,-0.125,0.164,0.416,5.92,7.51,128.59,84981.1,11.75,8.2776,32.9403588,-106.9219576,8,-77.4,0.2642,0,0
16.380,COAST,1485.594,88.253,0.100,-0.104,0.104,5.25,10.15,130.92,84960.4,11.84,8.2739,32.9403587,-106.9219575,8,-78.3,0.2636,0,0
16.400,COAST,1487.086,86.026,-0.183,0.187,0.274,2.26,5.92,131.50,84931.3,11.72,8.2791,32.9403595,-106.9219576,8,-77.7,0.2629,0,0
16.420,COAST,1489.509,87.109,-0.218,-0.233,0.050,2.18,9.02,127.74,84921.0,11.87,8.2794,32.9403581,-106.9219570,8,-77.3,0.2622,0,0
16.440,COAST,1490.464,85.670,-0.006,-0.165,0.306,1.39,7.99,128.13,84915.2,11.73,8.2740,32.9403595,-106.9219560,8,-80.1,0.2615,0,0
16.460,COAST,1493.408,87.334,0.142,-0.023,0.698,2.29,6.57,132.46,84883.3,11.68,8.2775,32.9403595,-106.9219577,8,-77.1,0.2608,0,0
16.480,COAST,1493.783,84.716,0.013,0.104,0.265,1.62,10.22,129.72,84860.3,11.71,8.2738,32.9403592,-106.9219571,8,-79.8,0.2602,0,0
16.500,COAST,1495.886,85.988,0.090,-0.250,0.126,1.41,10.46,130.44,84844.8,11.67,8.2743,32.9403591,-106.9219559,8,-78.4,0.2595,0,0
16.520,COAST,1498.020,86.533,-0.101,-0.135,0.385,2.80,9.67,129.02,84842.2,11.81,8.2699,32.9403605,-106.9219575,8,-79.2,0.2588,0,0
16.540,COAST,1500.076,84.704,-0.037,0.115,0.119,-1.19,6.08,129.89,84824.1,11.75,8.2774,32.9403594,-106.9219559,8,-79.5,0.2582,0,0
16.560,COAST,1501.936,85.856,0.114,-0.023,0.206,2.98,8.38,132.76,84797.8,11.65,8.2757,32.9403610,-106.9219567,8,-80.2,0.2575,0,0
16.580,COAST,1503.666,85.912,0.093,0.054,0.052,0.95,8.89,132.75,84783.8,11.88,8.2796,32.9403594,-106.9219558,8,-79.2,0.2568,0,0
16.600,COAST,1504.210,85.481,0.173,0.190,0.123,1.15,9.44,129.12,84766.4,11.59,8.2720,32.9403607,-106.9219576,8,-77.2,0.2561,0,0
16.620,COAST,1506.089,84.375,0.005,0.012,0.140,-1.82,5.96,127.09,84760.9,11.80,8.2760,32.9403599,-106.9219558,8,-79.8,0.2555,0,0
16.640,COAST,1507.468,82.864,-0.080,0.192,0.062,0.27,9.76,129.19,84728.7,11.80,8.2749,32.9403616,-106.9219570,8,-79.4,0.2548,0,0
16.660,COAST,1509.115,84.253,0.137,-0.063,0.403,0.23,9.11,128.32,84715.1,11.71,8.2768,32.9403611,-106.9219562,8,-77.3,0.2541,0,0
16.680,COAST,1511.658,83.763,0.056,0.179,0.141,-0.48,9.72,132.89,84711.7,11.65,8.2754,32.9403621,-106.9219571,8,-80.2,0.2534,0,0
16.700,COAST,1512.538,84.619,0.045,0.177,0.363,-2.72,7.79,128.40,84677.1,11.66,8.2712,32.9403606,-106.9219558,8,-78.3,0.2528,0,0
16.720,COAST,1514.119,83.802,0.180,-0.034,0.445,-0.66,8.92,131.48,84665.2,11.68,8.2775,32.9403616,-106.9219569,8,-80.3,0.2521,0,0
16.740,COAST,1516.675,83.495,-0.199,0.066,0.437,-2.95,7.43,128.76,84644.9,11.73,8.2730,32.9403622,-106.9219569,8,-79.6,0.2514,0,0
16.760,COAST,1518.208,83.171,0.089,0.218,0.292,-1.45,7.05,131.70,84644.7,11.71,8.2753,32.9403618,-106.9219564,8,-79.6,0.2508,0,0
16.780,COAST,1520.361,81.683,-0.181,-0.094,0.659,-3.49,9.48,132.51,84627.5,11.72,8.2705,32.9403610,-106.9219557,8,-79.5,0.2501,0,0
16.800,COAST,1520.850,82.790,-0.150,-0.216,0.525,-1.84,7.58,131.08,84597.6,11.52,8.2746,32.9403613,-106.9219557,8,-77.7,0.2494,0,0
16.820,COAST,1522.666,81.941,-0.248,0.039,0.127,-2.40,8.27,132.25,84583.0,11.53,8.2725,32.9403626,-106.9219571,8,-78.4,0.2488,0,0
16.840,COAST,1525.215,80.577,0.064,-0.222,0.563,-5.00,4.65,131.35,84559.3,11.68,8.2797,32.9403633,-106.9219572,8,-78.0,0.2481,0,0
16.860,COAST,1525.965,81.758,-0.226,0.210,0.202,-3.50,4.12,132.52,84553.3,11.64,8.2786,32.9403625,-106.9219573,8,-80.5,0.2474,0,0
